clade_name	clade_taxid	ERR1995252	ERR1995225	ERR1995258	ERR1995217	ERR1995260	ERR1995241	ERR1995236	ERR1995231	ERR1995246	ERR1995267	ERR1995222	ERR1995255	ERR1995228	ERR1995226	ERR1995251	ERR1995263	ERR1995214	ERR1995235	ERR1995242	ERR1995248	ERR1995245	ERR1995232	ERR1995238	ERR1995219	ERR1995213	ERR1995264	ERR1995256	ERR1995221	ERR1995211	ERR1995266	ERR1995229	ERR1995254	ERR1995223	ERR1995247	ERR1995230	ERR1995237	ERR1995240	ERR1995259	ERR1995224	ERR1995253	ERR1995261	ERR1995216	ERR1995265	ERR1995212	ERR1995218	ERR1995220	ERR1995257	ERR1995239	ERR1995233	ERR1995244	ERR1995249	ERR1995243	ERR1995234	ERR1995250	ERR1995227	ERR1995215	ERR1995262
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	0.66998	2.4424	0	0.00105	0.05191	0.00589	0	0	0	0.44374	7.24998	0.05803	0.5033	2.51184	3.33935	2.33493	0.05496	4.15705	9.44029	0	0	0	0.00183	0.25925	0.08112	1.53092	0.23618	1.00886	0.96423	19.24114	0.19125	1.19288	0.05986	0.03443	0.0081	31.94169	0.00308	0	0.04756	1.01679	0.06436	4.24472	0.0081	0.00556	2.72016	2.89224	1.5711	1.61827	0	0.87064	1.74424	0.03473	5.67928	2.60428	8.44682	11.16938	0.51083
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Aeriscardovia	2|201174|1760|85004|31953|240233	0	0.00285	0	0.00105	0	0	0	0	0	0	0.00725	0.00061	0.00231	0.02585	0.0034	0.00727	0	0.01075	0.00351	0	0	0	0	0	0	0.00037	0.00178	0.00116	0.00272	0.06526	0.0006	0.00302	0	0	0	0.07894	0	0	0	0.00043	0.00031	0.0062	0	0	0.0053	0.0018	0	0.00167	0	0	0.00207	0	0.01326	0.00607	0.0897	0.01351	0.00031
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Aeriscardovia|s__Aeriscardovia_aeriphila	2|201174|1760|85004|31953|240233|218139	0	0.00285	0	0.00105	0	0	0	0	0	0	0.00725	0.00061	0.00231	0.02585	0.0034	0.00727	0	0.01075	0.00351	0	0	0	0	0	0	0.00037	0.00178	0.00116	0.00272	0.06526	0.0006	0.00302	0	0	0	0.07894	0	0	0	0.00043	0.00031	0.0062	0	0	0.0053	0.0018	0	0.00167	0	0	0.00207	0	0.01326	0.00607	0.0897	0.01351	0.00031
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia	2|201174|1760|85004|31953|419014	0.01083	0	0	0	0	0	0	0	0	0	0	0	0.0005	0	0.00207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03121	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia|s__Alloscardovia_omnicolens	2|201174|1760|85004|31953|419014|419015	0.01083	0	0	0	0	0	0	0	0	0	0	0	0.0005	0	0.00207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03121	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	2|201174|1760|85004|31953|1678	0.41797	2.43955	0	0	0.05191	0.00589	0	0	0	0.44374	7.24273	0.05741	0.50049	2.48599	3.3298	2.32766	0.05496	4.1463	9.43678	0	0	0	0.00183	0.25925	0.08112	1.53055	0.2344	1.0077	0.96151	19.10945	0.19065	1.18985	0.05986	0.03108	0.0081	31.59149	0.00308	0	0.04756	1.01636	0.06406	4.23851	0.0081	0.00556	2.68721	2.89044	1.38623	1.61659	0	0.87064	1.74217	0.03473	5.66601	2.59821	8.35712	11.15587	0.51052
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	2|201174|1760|85004|31953|1678|1680	0.41797	0	0	0	0.01882	0	0	0	0	0	1.60984	0.03264	0	0	0	0.19563	0	2.34728	6.44433	0	0	0	0	0	0	0	0	0	0.23008	1.24093	0.0101	1.00478	0.01373	0	0	16.97028	0	0	0.00044	0	0	0	0	0	0.58831	1.44683	0.211	0.88062	0	0	0.62563	0	3.25085	1.88579	0	5.96983	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_angulatum	2|201174|1760|85004|31953|1678|1683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29726	0	0	0.90103	0	0	0	0	0	0	0	0	0	0.10678	6.62143	0	0	0.00039	0	0	5.48723	0	0	0	0	0	0	0	0	0.47324	0	0	0.39747	0	0	0	0	0.79908	0	0	3.42514	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis	2|201174|1760|85004|31953|1678|28025	0	0.52213	0	0	0	0	0	0	0	0	0	0	0.50049	0	0	0	0	0	0	0	0	0	0	0.25925	0.07864	0	0.11372	0	0	0	0	0	0	0	0	0	0	0	0	0.00403	0	0.03548	0	0	0	0	1.14434	0	0	0	0	0	0	0	0.02168	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	2|201174|1760|85004|31953|1678|1681	0	0	0	0	0	0	0	0	0	0	2.09543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2756	0	0	0	0.01915	0.02406	0	0	0	0	0.02497	0	0	0	0	0	0.63147	0.8127	0	0	0	0.54578	0.07662	0	0	0	0	0.31071	0
